"Reference","Value","Datasheet","Footprint","Qty","DNP","JLC Part Number","Unit Price"
"J1,J2","Conn_01x05_Pin","~","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","2","DNP","",""
"J3,J4,J5,J6,J7,J11,J12","Conn_01x02_Pin","~","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","7","DNP","",""
"J8,J9","Conn_01x16_Pin","~","Connector_PinHeader_2.54mm:PinHeader_1x16_P2.54mm_Vertical","2","DNP","",""
"J10","Conn_01x06_Pin","~","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","1","DNP","",""
"U2","ESP32-WROOM-32","https://www.espressif.com/sites/default/files/documentation/esp32-wroom-32_datasheet_en.pdf","RF_Module:ESP32-WROOM-32","1","DNP","",""
"R1","2k7","~","Resistor_SMD:R_0805_2012Metric","1","","C17530","0.0016"
"R2","330","~","Resistor_SMD:R_0805_2012Metric","1","","C17630","0.0017"
"R3","2k","~","Resistor_SMD:R_0805_2012Metric","1","","C17604","0.0017"
"R4","470","~","Resistor_SMD:R_0805_2012Metric","1","","C17710","0.0017"
"R5","330m","~","Resistor_SMD:R_0805_2012Metric","1","","C52548","0.0032"
"C3","100n","~","Capacitor_SMD:C_0805_2012Metric","1","","C38141","0.0035"
"C1,C2","4.7u","~","Capacitor_SMD:C_0805_2012Metric","2","","C1779","0.01"
"C4,C5","10u","~","Capacitor_SMD:C_0805_2012Metric","2","","C1713","0.01"
"D1","LED","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2304140030_Foshan-NationStar-Optoelectronics-NCD0805R1_C84256.pdf","LED_SMD:LED_0805_2012Metric","1","","C84256","0.01"
"Q1,Q2","2N7002H","http://www.diodes.com/assets/Datasheets/2N7002H.pdf","Package_TO_SOT_SMD:SOT-23","2","","C150714","0.0404"
"U4","HT75xx-1-SOT89","https://www.holtek.com/documents/10179/116711/HT75xx-1v250.pdf","Package_TO_SOT_SMD:SOT-89-3","1","","C14289","0.1040"
"U3","AP9101CK6-AYTRG1","https://www.diodes.com/assets/Datasheets/AP9101C.pdf","Package_TO_SOT_SMD:SOT-23-6","1","","C507889","0.1905"
"BT1","Battery_Cell","~","Library:18650 cell holder - pin gap = 70mm","1","","C5290176","0.453"
"U1","MCP73831-2-OT","http://ww1.microchip.com/downloads/en/DeviceDoc/20001984g.pdf","Package_TO_SOT_SMD:SOT-23-5","1","","C424093","0.6915"
